id,source,target,type,label,date,outcome,presetTags,title
e1,P_ASANGA,EXT_PRA_0014,underpinning,associated with,,,"[""kagyu""]",Entity ↔ Underpinning association
e2,P_ASANGA,EXT_PRA_0015,underpinning,associated with,,,"[""kagyu""]",Entity ↔ Underpinning association
e3,P_ASANGA,EXT_PRA_0027,underpinning,associated with,,,"[""kagyu"", ""nyingma""]",Entity ↔ Underpinning association
e4,P_ASANGA,T_YOGACARA,underpinning,associated with,,,[],Entity ↔ Underpinning association
e5,P_ASANGA,EXT_PRA_0024,underpinning,associated with,,,"[""kagyu"", ""nyingma""]",Entity ↔ Underpinning association
e6,P_ATISA,EXT_TRA_0001,underpinning,associated with,,,"[""kagyu"", ""nyingma""]",Entity ↔ Underpinning association
e7,P_ATISA,T_KAGYU,underpinning,associated with,,,"[""drukpa"", ""kagyu""]",Entity ↔ Underpinning association
e8,P_ATISA,T_VAJRA,underpinning,associated with,,,"[""kagyu""]",Entity ↔ Underpinning association
e9,P_ATISA,YOL_TRA_0005,underpinning,associated with,,,"[""kagyu""]",Entity ↔ Underpinning association
e10,P_ATISA,YOL_TRA_0006,underpinning,associated with,,,"[""kagyu""]",Entity ↔ Underpinning association
e11,P_ATISA,YOL_TRA_0012,underpinning,associated with,,,"[""kagyu""]",Entity ↔ Underpinning association
e12,P_ATISA,EXT_PRA_0014,underpinning,associated with,,,"[""kagyu""]",Entity ↔ Underpinning association
e13,P_ATISA,EXT_PRA_0016,underpinning,associated with,,,"[""kagyu""]",Entity ↔ Underpinning association
e14,P_ATISA,EXT_PER_0024,meeting_visit,meeting / visit,before 1042,"Received bodhisattva teachings from Serlingpa, journeyed to Tibet, and taught disciples such as Dromtönpa while establishing Kadampa-oriented instruction.","[""kagyu""]","Meeting/visit: Atisha ↔ Serlingpa Dharmakirti<br>Date(s): before 1042<br>Outcome: Received bodhisattva teachings from Serlingpa, journeyed to Tibet, and taught disciples such as Dromtönpa while establishing Kadampa-oriented instruction."
e15,P_ATISA,PL_TIBET,meeting_visit,meeting / visit,1042–1054,"Received bodhisattva teachings from Serlingpa, journeyed to Tibet, and taught disciples such as Dromtönpa while establishing Kadampa-oriented instruction.","[""kagyu"", ""nyingma""]","Meeting/visit: Atisha ↔ Tibet<br>Date(s): 1042–1054<br>Outcome: Received bodhisattva teachings from Serlingpa, journeyed to Tibet, and taught disciples such as Dromtönpa while establishing Kadampa-oriented instruction."
